transform_id,tenant_id,source_inventory_id,destination_inventory_id,mode,quantity,transaction_id,loss_percent
1,1,NULL,INV-101,INWARD,1000,101,0
2,1,INV-101,INV-102,SEGREGATION,980,102,2
3,1,INV-102,INV-103,BALING,980,103,0
4,1,INV-103,INV-105,RECEIPT,980,105,0
5,1,INV-105,INV-106,WASHING,950,106,3.06
6,1,INV-106,INV-107,QC_PASS,950,107,0
7,1,INV-107,INV-108,RECYCLING,920,108,3.15
8,1,INV-108,INV-109,PRODUCTION,900,109,2.17
9,1,NULL,INV-201,INWARD,2000,201,0
10,1,INV-201,INV-202,SEGREGATION,1950,202,2.5
11,1,INV-202,INV-203A,BALING,975,203,0
12,1,INV-202,INV-203B,BALING,975,204,0
13,1,INV-301,INV-REJECT-302,QC_FAIL,500,302,100
14,1,INV-GRAN-1,INV-PIPE-401,MIXING,750,401,0
15,1,INV-GRAN-2,INV-PIPE-401,MIXING,750,401,0
16,1,INV-SHIP-501,INV-RECV-502,TRANSFER,480,502,4
17,1,INV-601,INV-WASH-602,TRANSFER,800,602,0
