transaction_id,tenant_id,process_code,series,transaction_date,warehouse_code,status,total_quantity,remarks
101,1,PR,PR-101,2026-03-01,WH-COLLECT,APPROVED,1000,SCN-100:Inward
102,1,SEG,SEG-102,2026-03-02,WH-COLLECT,APPROVED,980,SCN-100:Sort
103,1,MB,BALE-103,2026-03-02,WH-COLLECT,APPROVED,980,SCN-100:Bale
104,1,WT,WT-104,2026-03-03,WH-COLLECT,APPROVED,980,SCN-100:Ship
105,1,WTR,WTR-105,2026-03-04,WH-WASH,APPROVED,980,SCN-100:Recv
106,1,MB,WASH-106,2026-03-05,WH-WASH,APPROVED,950,SCN-100:Wash
107,1,QC,QC-107,2026-03-06,WH-WASH,APPROVED,950,SCN-100:Pass
108,1,MB,RECY-108,2026-03-07,WH-RECY,APPROVED,920,SCN-100:Granule
109,1,MB,PROD-109,2026-03-10,WH-FACT,APPROVED,900,SCN-100:Final-Pipe
201,1,PR,PR-201,2026-03-01,WH-COLLECT,APPROVED,2000,SCN-200:Large-In
202,1,SEG,SEG-202,2026-03-02,WH-COLLECT,APPROVED,1950,SCN-200:Grade-Split
203,1,MB,BALE-203A,2026-03-02,WH-COLLECT,APPROVED,975,SCN-200:Bale-A
204,1,MB,BALE-203B,2026-03-02,WH-COLLECT,APPROVED,975,SCN-200:Bale-B
301,1,MB,WASH-301,2026-03-05,WH-WASH,APPROVED,500,SCN-300:Wash-Pre-QC
302,1,QC,QC-302,2026-03-06,WH-WASH,REJECTED,500,SCN-300:Fail-High-Moisture
401,1,MB,MIX-401,2026-03-15,WH-FACT,APPROVED,1500,SCN-400:Merge-Lots
501,1,WT,WT-501,2026-03-20,WH-RECY,APPROVED,500,SCN-500:Dispatched
502,1,WTR,WTR-502,2026-03-21,WH-FACT,APPROVED,480,SCN-500:Recv-Loss-20kg
601,1,PR,PR-601,2026-03-01,WH-COLLECT,APPROVED,800,SCN-601:Clean-Waste
602,1,WT,WT-602,2026-03-02,WH-COLLECT,APPROVED,800,SCN-601:Skip-Baling
